X,Y,Outcome,Bodypart
71.9000015,40.4000015,0,0
68.9000015,50.7000008,0,0
85.0,48.9000015,0,1
77.8000031,43.7000008,0,0
89.0999985,56.400001499999995,0,1
97.5,47.4000015,1,1
93.9000015,54.2999992,0,1
89.0999985,68.8000031,0,0
76.1999969,48.7999992,0,0
86.0999985,52.0999985,1,0
93.3000031,68.5999985,0,0
81.0,62.7000008,0,0
70.4000015,60.2000008,0,0
80.5999985,50.5999985,0,0
88.8000031,56.49999999999999,1,0
73.0,28.899999599999997,0,0
78.6999969,52.0999985,0,0
88.8000031,61.4000015,0,0
89.8000031,44.0,0,1
88.5999985,32.7000008,0,0
90.6999969,48.7999992,0,0
88.5,50.0,0,0
93.0,50.0,1,0
2.8000000000000003,54.2999992,0,0
85.3000031,69.4000015,0,0
72.4000015,62.9000015,0,0
3.6999999999999997,42.7999992,0,1
85.1999969,45.7999992,0,0
86.5,68.8000031,0,0
72.1999969,43.7000008,0,0
86.0999985,27.7000008,0,0
89.0,42.7999992,0,0
76.6999969,66.4000015,0,0
78.8000031,45.2000008,0,0
82.9000015,85.0,0,0
84.6999969,36.099998500000005,0,0
82.5999985,49.2999992,0,0
75.5999985,42.7000008,0,0
89.3000031,38.400001499999995,0,0
88.8000031,46.0,0,0
89.4000015,62.9000015,0,0
88.3000031,30.700000799999998,0,0
96.0,33.4000015,0,0
81.6999969,65.5999985,0,0
80.4000015,42.7000008,0,0
85.0999985,50.0999985,0,0
80.5,49.9000015,0,0
91.5,46.0999985,0,0
86.6999969,37.0999985,1,0
87.5,61.5999985,0,0
95.0,47.0,0,1
81.5999985,34.200000800000005,0,0
81.3000031,51.2999992,0,0
86.5999985,53.0,0,0
94.1999969,52.4000015,0,1
78.6999969,64.1999969,0,0
89.1999969,36.2999992,0,0
71.5,57.900001499999995,0,0
73.5999985,68.0999985,0,0
93.5,51.2999992,0,1
77.1999969,35.9000015,0,0
85.9000015,32.5,0,0
69.8000031,61.4000015,0,0
89.9000015,51.2000008,0,1
92.0,52.4000015,1,1
81.0999985,28.899999599999997,0,0
86.4000015,57.599998500000005,0,0
75.5999985,25.8999996,0,0
90.5,43.7000008,0,0
73.5,72.1999969,0,0
84.8000031,31.200000799999998,1,0
68.5,69.9000015,0,0
88.5,50.0,1,0
87.4000015,44.2000008,0,0
77.5999985,69.0,0,0
81.5,53.0,1,0
89.5,61.2000008,0,0
80.4000015,47.9000015,0,0
90.0,46.5999985,0,0
89.1999969,47.5,0,1
91.5999985,54.0,0,0
76.5,76.1999969,0,0
89.0,60.5999985,0,0
82.9000015,58.099998500000005,0,0
91.9000015,53.5999985,1,0
96.5,35.0,1,0
90.0,38.2999992,0,0
92.1999969,57.900001499999995,0,0
74.8000031,42.7999992,0,0
95.9000015,57.900001499999995,0,1
96.6999969,52.4000015,0,0
85.1999969,51.5,0,0
81.0,45.2000008,0,0
90.6999969,50.2999992,0,0
87.5999985,47.5999985,0,0
88.5,50.0,1,0
74.6999969,40.700000800000005,0,0
92.30000310000001,48.599998500000005,1,1
95.9000015,56.599998500000005,0,1
85.3000031,62.7000008,0,0
97.3000031,65.3000031,0,0
73.5,36.7999992,1,0
88.6999969,51.5999985,0,0
73.5,41.2000008,0,0
90.1999969,44.0999985,0,0
87.1999969,31.0,1,0
90.1999969,37.5999985,1,0
79.80000310000001,69.4000015,0,0
94.5999985,56.49999999999999,1,1
94.6999969,28.2999992,0,0
92.30000310000001,46.0999985,0,1
93.6999969,28.6000004,0,0
86.1999969,34.0999985,0,0
84.0999985,49.9000015,0,0
68.1999969,52.0,0,0
90.8000031,45.5,0,1
78.5,71.8000031,0,0
