Outcome,Player,Bodypart,Mins,Secs,X,Y,X2,Y2
0,-,1,0,0,97,19,-,-
0,-,1,0,0,95,18,-,-
0,-,1,0,0,95,12,-,-
0,-,1,0,0,98,19,-,-
0,-,1,0,0,98,13,-,-
0,-,1,0,0,98,23,-,-
0,-,1,0,0,98,10,-,-
0,-,1,0,0,97,4,-,-
0,-,1,0,0,93,4,-,-
0,-,1,0,0,90,3,-,-
0,-,1,0,0,95,7,-,-
0,-,1,0,0,99,17,-,-
0,-,1,0,0,97,3,-,-
0,-,1,0,0,94,4,-,-
0,-,1,0,0,91,2,-,-
0,-,1,0,0,95,5,96,8
0,-,1,0,0,97,16,-,-
0,-,1,0,0,96,22,-,-
0,-,1,0,0,98,13,-,-
0,-,1,0,0,99,7,-,-
0,-,1,0,0,99,11,98,7
0,-,1,0,0,97,3,-,-
0,-,1,0,0,94,3,-,-
0,-,1,0,0,90,4,-,-
0,-,1,0,0,95,1,-,-
0,-,1,0,0,98,12,-,-
0,-,1,0,0,98,13,100,22
0,-,1,0,0,99,26,-,-
0,-,1,0,0,98,19,-,-
0,-,1,0,0,98,28,-,-
0,-,1,0,0,99,18,-,-
0,-,1,0,0,97,10,-,-
0,-,1,0,0,97,5,-,-
0,-,1,0,0,91,5,-,-
0,-,1,0,0,93,12,-,-
0,-,1,0,0,96,19,-,-
0,-,1,0,0,98,71,-,-
0,-,1,0,0,99,67,-,-
0,-,1,0,0,98,76,-,-
0,-,1,0,0,95,84,-,-
0,-,1,0,0,93,89,-,-
0,-,1,0,0,92,91,-,-
0,-,1,0,0,94,84,-,-
0,-,1,0,0,97,73,-,-
0,-,1,0,0,98,66,-,-
0,-,1,0,0,98,87,-,-
0,-,1,0,0,97,88,-,-
0,-,1,0,0,97,84,-,-
0,-,1,0,0,97,81,-,-
0,-,1,0,0,98,77,-,-
0,-,1,0,0,97,83,-,-
0,-,1,0,0,99,77,-,-
0,-,1,0,0,99,85,-,-
0,-,1,0,0,96,91,-,-
0,-,1,0,0,98,81,-,-
0,-,1,0,0,97,75,-,-
0,-,1,0,0,94,82,-,-
0,-,1,0,0,93,87,-,-
0,-,1,0,0,94,87,-,-
0,-,1,0,0,99,78,-,-
0,-,1,0,0,99,76,-,-
0,-,1,0,0,95,86,-,-
0,-,1,0,0,95,86,-,-
0,-,1,0,0,94,84,-,-
0,-,1,0,0,95,81,-,-
0,-,1,0,0,96,80,-,-
0,-,1,0,0,97,75,-,-
0,-,1,0,0,97,83,97,86
0,-,1,0,0,97,88,-,-
0,-,1,0,0,97,91,-,-
0,-,1,0,0,98,90,-,-
0,-,1,0,0,99,85,-,-
0,-,1,0,0,99,83,-,-
0,-,1,0,0,99,80,-,-
0,-,1,0,0,99,76,-,-
0,-,1,0,0,99,73,99,70
0,-,1,0,0,99,68,-,-
0,-,1,0,0,99,66,-,-
0,-,1,0,0,100,79,-,-
0,-,1,0,0,100,86,100,89
0,-,1,0,0,100,91,-,-
0,-,1,0,0,100,90,100,81
0,-,1,0,0,99,7,-,-
0,-,1,0,0,99,7,99,10
0,-,1,0,0,100,23,-,-
0,-,1,0,0,100,16,-,-
0,-,1,0,0,100,14,-,-
0,-,1,0,0,99,9,-,-
0,-,1,0,0,96,90,-,-
0,-,1,0,0,97,81,-,-
0,-,1,0,0,97,86,-,-
0,-,1,0,0,97,88,-,-
0,-,1,0,0,93,90,-,-
0,-,1,0,0,95,81,95,89
0,-,1,0,0,95,89,-,-
0,-,1,0,0,96,89,-,-
0,-,1,0,0,92,3,-,-
0,-,1,0,0,93,6,-,-
0,-,1,0,0,94,2,-,-
0,-,1,0,0,96,5,-,-
0,-,1,0,0,96,5,-,-
0,-,1,0,0,97,5,-,-
0,-,1,0,0,97,3,-,-
0,-,0,0,0,97,5,-,-
0,-,0,0,0,89,8,-,-
0,-,0,0,0,87,4,-,-
0,-,0,0,0,94,11,-,-
0,-,0,0,0,95,8,-,-
0,-,0,0,0,97,86,-,-
0,-,0,0,0,95,90,97,87
0,-,0,0,0,98,84,99,90
0,-,0,0,0,99,90,96,85
0,-,0,0,0,95,85,92,88
0,-,0,0,0,87,92,-,-
0,-,0,0,0,87,87,-,-
0,-,0,0,0,90,86,-,-
0,-,0,0,0,87,91,-,-
0,-,0,0,0,92,2,-,-
0,-,0,0,0,86,1,92,2
0,-,0,0,0,95,4,-,-
0,-,0,0,0,98,9,99,19
0,-,0,0,0,99,20,99,24
0,-,0,0,0,100,84,-,-
0,-,0,0,0,99,78,-,-
0,-,0,0,0,99,74,99,68
0,-,0,0,0,99,67,-,-
0,-,0,0,0,99,84,99,88
0,-,0,0,0,99,88,-,-
