id,minute,result,X,Y,xG,player_id,situation,shotType,lastAction
399642,21,MissedShots,0.719000015,0.404000015,0.014849942,2328,OpenPlay,RightFoot,Pass
399654,62,BlockedShot,0.689000015,0.507000008,0.015111757,204,OpenPlay,LeftFoot,Pass
393084,91,ShotOnPost,0.85,0.489000015,0.024478562,1749,SetPiece,Head,Cross
377757,67,BlockedShot,0.778000031,0.437000008,0.0305919,1776,OpenPlay,LeftFoot,None
381200,27,SavedShot,0.890999985,0.564000015,0.055482101,6482,OpenPlay,Head,Cross
404855,46,Goal,0.975,0.474000015,0.755788863,318,OpenPlay,Head,Pass
416979,11,MissedShots,0.939000015,0.542999992,0.143435612,5555,OpenPlay,Head,Cross
386917,77,BlockedShot,0.890999985,0.688000031,0.069599189,592,OpenPlay,LeftFoot,TakeOn
415645,45,MissedShots,0.761999969,0.487999992,0.026292186,3277,OpenPlay,RightFoot,Pass
410601,43,Goal,0.860999985,0.520999985,0.063350201,2517,OpenPlay,LeftFoot,Cross
392402,11,BlockedShot,0.933000031,0.685999985,0.054780796,318,OpenPlay,RightFoot,None
389674,41,SavedShot,0.81,0.627000008,0.036356002,6382,OpenPlay,LeftFoot,Pass
401849,75,BlockedShot,0.704000015,0.602000008,0.036554605,1676,DirectFreekick,RightFoot,Standard
395671,28,BlockedShot,0.805999985,0.505999985,0.051206637,702,OpenPlay,RightFoot,HeadPass
393074,51,Goal,0.888000031,0.565,0.374821097,318,OpenPlay,RightFoot,Pass
395668,23,BlockedShot,0.73,0.288999996,0.011392362,204,OpenPlay,LeftFoot,Pass
415647,64,BlockedShot,0.786999969,0.520999985,0.10536541,3277,DirectFreekick,RightFoot,Standard
416978,1,BlockedShot,0.888000031,0.614000015,0.092249498,2446,OpenPlay,RightFoot,Pass
415648,66,MissedShots,0.898000031,0.44,0.220309764,492,OpenPlay,Head,Cross
399647,46,SavedShot,0.885999985,0.327000008,0.081569329,3277,OpenPlay,RightFoot,TakeOn
389681,49,MissedShots,0.906999969,0.487999992,0.433968514,7322,OpenPlay,LeftFoot,Pass
395694,90,SavedShot,0.885,0.5,0.76109463,1389,Penalty,RightFoot,Standard
377760,84,Goal,0.93,0.5,0.57541883,6482,OpenPlay,RightFoot,Pass
386895,24,OwnGoal,0.028,0.542999992,0,7322,OpenPlay,RightFoot,None
389689,79,BlockedShot,0.853000031,0.694000015,0.036278501,6630,OpenPlay,RightFoot,None
401826,15,SavedShot,0.724000015,0.629000015,0.018628459,3277,OpenPlay,RightFoot,Pass
392420,72,OwnGoal,0.037,0.427999992,0,318,FromCorner,Head,Aerial
416987,34,BlockedShot,0.851999969,0.457999992,0.066308446,2249,FromCorner,LeftFoot,Rebound
389687,72,BlockedShot,0.865,0.688000031,0.039909329,318,OpenPlay,RightFoot,BallRecovery
420847,18,BlockedShot,0.721999969,0.437000008,0.010421231,964,OpenPlay,RightFoot,Aerial
401851,79,MissedShots,0.860999985,0.277000008,0.033647258,556,OpenPlay,RightFoot,Pass
416981,17,SavedShot,0.89,0.427999992,0.078340158,7322,OpenPlay,LeftFoot,HeadPass
